"Measurement outcome","Frequency"
"0000000","8"
"0000001","5"
"0000010","10"
"0000011","9"
"0000100","7"
"0000101","6"
"0000110","3"
"0000111","8"
"0001000","11"
"0001001","7"
"0001010","5"
"0001011","9"
"0001100","9"
"0001101","8"
"0001110","8"
"0001111","5"
"0010000","6"
"0010001","6"
"0010010","13"
"0010011","7"
"0010100","5"
"0010101","8"
"0010110","7"
"0010111","10"
"0011000","6"
"0011001","2"
"0011010","11"
"0011011","4"
"0011100","11"
"0011101","9"
"0011110","12"
"0011111","16"
"0100000","13"
"0100001","11"
"0100010","9"
"0100011","10"
"0100100","13"
"0100101","5"
"0100110","11"
"0100111","6"
"0101000","12"
"0101001","5"
"0101010","12"
"0101011","4"
"0101100","2"
"0101101","10"
"0101110","9"
"0101111","8"
"0110000","8"
"0110001","7"
"0110010","9"
"0110011","8"
"0110100","16"
"0110101","6"
"0110110","9"
"0110111","7"
"0111000","5"
"0111001","11"
"0111010","4"
"0111011","4"
"0111100","6"
"0111101","3"
"0111110","8"
"0111111","11"
"1000000","6"
"1000001","8"
"1000010","9"
"1000011","6"
"1000100","12"
"1000101","6"
"1000110","2"
"1000111","9"
"1001000","7"
"1001001","11"
"1001010","11"
"1001011","6"
"1001100","12"
"1001101","11"
"1001110","7"
"1001111","8"
"1010000","8"
"1010001","6"
"1010010","12"
"1010011","11"
"1010100","10"
"1010101","6"
"1010110","9"
"1010111","9"
"1011000","9"
"1011001","7"
"1011010","6"
"1011011","8"
"1011100","10"
"1011101","13"
"1011110","9"
"1011111","4"
"1100000","10"
"1100001","10"
"1100010","4"
"1100011","6"
"1100100","10"
"1100101","13"
"1100110","1"
"1100111","4"
"1101000","5"
"1101001","9"
"1101010","10"
"1101011","8"
"1101100","7"
"1101101","10"
"1101110","9"
"1101111","5"
"1110000","8"
"1110001","9"
"1110010","8"
"1110011","4"
"1110100","8"
"1110101","10"
"1110110","7"
"1110111","10"
"1111000","4"
"1111001","9"
"1111010","6"
"1111011","5"
"1111100","11"
"1111101","5"
"1111110","11"
"1111111","7"
